CMDLINE /usr/local/opt/python/bin/python3.7 simpleProgram.py
MEM 0.035156 1551758090.0279
MEM 10.777344 1551758090.1290
MEM 19.035156 1551758090.2342
MEM 22.367188 1551758090.3355
MEM 25.320312 1551758090.4367
MEM 28.464844 1551758090.5379
MEM 31.222656 1551758090.6416
MEM 33.718750 1551758090.7434
MEM 36.718750 1551758090.8442
MEM 40.089844 1551758090.9476
MEM 42.488281 1551758091.0525
MEM 45.636719 1551758091.1550
MEM 48.781250 1551758091.2559
MEM 51.867188 1551758091.3566
MEM 55.535156 1551758091.4587
MEM 57.781250 1551758091.5618
MEM 60.785156 1551758091.6623
MEM 63.855469 1551758091.7637
MEM 67.554688 1551758091.8648
MEM 70.183594 1551758091.9655
MEM 71.339844 1551758092.0707
MEM 74.621094 1551758092.1757
MEM 77.687500 1551758092.2778
MEM 81.785156 1551758092.3813
MEM 85.074219 1551758092.4865
MEM 86.542969 1551758092.5916
MEM 89.632812 1551758092.6919
MEM 92.394531 1551758092.7921
MEM 95.542969 1551758092.8941
MEM 99.789062 1551758092.9950
MEM 102.800781 1551758093.0957
MEM 103.867188 1551758093.1971
MEM 107.125000 1551758093.2997
MEM 109.984375 1551758093.4011
MEM 112.957031 1551758093.5033
MEM 116.007812 1551758093.6059
MEM 120.839844 1551758093.7073
MEM 122.953125 1551758093.8078
MEM 125.792969 1551758093.9082
MEM 125.816406 1551758094.0086
MEM 128.753906 1551758094.1100
MEM 131.593750 1551758094.2105
MEM 134.515625 1551758094.3110
MEM 137.023438 1551758094.4125
MEM 139.871094 1551758094.5140
MEM 142.757812 1551758094.6145
MEM 145.289062 1551758094.7164
MEM 150.125000 1551758094.8168
MEM 153.222656 1551758094.9207
MEM 152.097656 1551758095.0211
MEM 154.964844 1551758095.1236
MEM 158.007812 1551758095.2275
MEM 160.195312 1551758095.3328
MEM 162.503906 1551758095.4331
MEM 165.492188 1551758095.5363
MEM 168.750000 1551758095.6369
MEM 167.671875 1551758095.7417
MEM 170.871094 1551758095.8453
MEM 173.914062 1551758095.9456
MEM 176.886719 1551758096.0461
MEM 183.378906 1551758096.1468
MEM 185.578125 1551758096.2481
MEM 188.703125 1551758096.3491
MEM 187.160156 1551758096.4502
MEM 190.324219 1551758096.5522
MEM 193.503906 1551758096.6571
MEM 196.449219 1551758096.7585
MEM 199.660156 1551758096.8602
MEM 202.812500 1551758096.9648
MEM 205.957031 1551758097.0663
MEM 208.542969 1551758097.1669
MEM 211.738281 1551758097.2686
MEM 214.906250 1551758097.3708
MEM 217.746094 1551758097.4739
MEM 220.917969 1551758097.5758
MEM 227.097656 1551758097.6775
MEM 230.121094 1551758097.7782
MEM 233.285156 1551758097.8818
MEM 236.289062 1551758097.9820
MEM 233.449219 1551758098.0833
MEM 236.683594 1551758098.1866
MEM 239.941406 1551758098.2918
MEM 243.105469 1551758098.3927
MEM 246.226562 1551758098.4952
MEM 249.351562 1551758098.5963
MEM 252.453125 1551758098.7013
MEM 255.664062 1551758098.8032
MEM 258.160156 1551758098.9041
MEM 260.906250 1551758099.0066
MEM 264.023438 1551758099.1080
MEM 267.128906 1551758099.2086
MEM 270.312500 1551758099.3089
MEM 273.601562 1551758099.4141
MEM 280.691406 1551758099.5145
MEM 283.640625 1551758099.6161
MEM 286.921875 1551758099.7208
MEM 290.023438 1551758099.8211
MEM 293.156250 1551758099.9246
MEM 288.964844 1551758100.0268
MEM 292.187500 1551758100.1291
MEM 295.371094 1551758100.2303
MEM 297.960938 1551758100.3353
MEM 300.187500 1551758100.4407
MEM 302.156250 1551758100.5418
MEM 303.878906 1551758100.6423
MEM 306.812500 1551758100.7439
MEM 309.898438 1551758100.8472
MEM 312.992188 1551758100.9480
MEM 316.160156 1551758101.0503
MEM 319.296875 1551758101.1507
MEM 322.437500 1551758101.2547
MEM 325.492188 1551758101.3549
MEM 328.667969 1551758101.4577
MEM 323.496094 1551758101.5580
MEM 326.656250 1551758101.6584
MEM 329.824219 1551758101.7599
MEM 333.035156 1551758101.8603
MEM 336.113281 1551758101.9611
MEM 339.191406 1551758102.0659
MEM 347.894531 1551758102.1710
MEM 351.179688 1551758102.2760
MEM 354.605469 1551758102.3805
MEM 357.718750 1551758102.4852
MEM 361.066406 1551758102.5903
MEM 364.175781 1551758102.6910
MEM 367.136719 1551758102.7917
MEM 360.902344 1551758102.8928
MEM 363.910156 1551758102.9934
MEM 367.101562 1551758103.0952
MEM 370.273438 1551758103.1957
MEM 373.445312 1551758103.2967
MEM 376.664062 1551758103.3973
MEM 379.730469 1551758103.4977
MEM 382.878906 1551758103.5980
MEM 386.089844 1551758103.7013
MEM 389.210938 1551758103.8027
MEM 392.421875 1551758103.9032
MEM 395.410156 1551758104.0038
MEM 398.656250 1551758104.1054
MEM 400.761719 1551758104.2057
MEM 404.085938 1551758104.3105
MEM 407.429688 1551758104.4126
MEM 410.750000 1551758104.5170
MEM 413.960938 1551758104.6186
MEM 417.285156 1551758104.7238
MEM 420.496094 1551758104.8283
MEM 431.855469 1551758104.9302
MEM 433.019531 1551758105.0349
MEM 436.011719 1551758105.1391
MEM 439.285156 1551758105.2409
MEM 442.152344 1551758105.3438
MEM 445.261719 1551758105.4447
MEM 446.515625 1551758105.5453
MEM 446.515625 1551758105.6458
MEM 446.515625 1551758105.7461
MEM 446.515625 1551758105.8470
MEM 446.515625 1551758105.9509
MEM 446.925781 1551758106.0519
MEM 450.136719 1551758106.1522
MEM 453.390625 1551758106.2558
MEM 456.625000 1551758106.3574
MEM 459.750000 1551758106.4601
MEM 451.164062 1551758106.5650
MEM 454.234375 1551758106.6654
MEM 457.492188 1551758106.7686
MEM 460.660156 1551758106.8710
MEM 463.644531 1551758106.9720
MEM 466.753906 1551758107.0738
MEM 470.007812 1551758107.1778
MEM 473.164062 1551758107.2792
MEM 476.390625 1551758107.3828
MEM 479.589844 1551758107.4831
MEM 482.910156 1551758107.5883
MEM 486.039062 1551758107.6910
MEM 489.054688 1551758107.7917
MEM 492.300781 1551758107.8936
MEM 495.386719 1551758107.9949
MEM 498.425781 1551758108.0960
MEM 501.660156 1551758108.1971
MEM 503.503906 1551758108.2973
MEM 506.667969 1551758108.3975
MEM 510.007812 1551758108.5025
MEM 513.175781 1551758108.6029
MEM 516.160156 1551758108.7035
MEM 519.382812 1551758108.8038
MEM 522.781250 1551758108.9091
MEM 537.402344 1551758109.0133
MEM 537.480469 1551758109.1140
MEM 540.953125 1551758109.2192
MEM 544.304688 1551758109.3211
MEM 547.714844 1551758109.4262
MEM 551.093750 1551758109.5314
MEM 554.460938 1551758109.6345
MEM 557.785156 1551758109.7365
MEM 561.058594 1551758109.8410
MEM 564.222656 1551758109.9418
MEM 567.257812 1551758110.0423
MEM 570.375000 1551758110.1430
MEM 573.519531 1551758110.2440
MEM 576.785156 1551758110.3472
MEM 565.058594 1551758110.4485
MEM 568.160156 1551758110.5534
MEM 571.285156 1551758110.6554
MEM 574.269531 1551758110.7566
MEM 576.539062 1551758110.8609
MEM 578.828125 1551758110.9662
MEM 581.097656 1551758111.0712
MEM 583.191406 1551758111.1720
MEM 585.375000 1551758111.2745
MEM 587.515625 1551758111.3766
MEM 589.355469 1551758111.4782
MEM 592.503906 1551758111.5786
MEM 595.488281 1551758111.6793
MEM 598.574219 1551758111.7834
MEM 601.785156 1551758111.8885
MEM 604.757812 1551758111.9911
MEM 607.988281 1551758112.0915
MEM 611.062500 1551758112.1917
MEM 614.238281 1551758112.2922
MEM 617.511719 1551758112.3932
MEM 620.515625 1551758112.4935
MEM 623.660156 1551758112.5940
MEM 626.867188 1551758112.6943
MEM 630.058594 1551758112.7955
MEM 633.304688 1551758112.8963
MEM 636.621094 1551758113.0013
MEM 639.843750 1551758113.1040
MEM 642.613281 1551758113.2043
MEM 645.714844 1551758113.3048
