CMDLINE /usr/local/opt/python/bin/python3.7 simpleProgram.py
MEM 0.296875 1551474044.8501
MEM 7.289062 1551474044.9513
MEM 10.691406 1551474045.0528
MEM 14.722656 1551474045.1548
MEM 18.824219 1551474045.2557
MEM 18.828125 1551474045.3609
MEM 18.867188 1551474045.4661
MEM 18.910156 1551474045.5693
MEM 18.945312 1551474045.6717
MEM 18.980469 1551474045.7725
MEM 19.019531 1551474045.8728
MEM 19.066406 1551474045.9768
MEM 19.066406 1551474046.0779
MEM 19.066406 1551474046.1827
MEM 19.066406 1551474046.2840
MEM 19.082031 1551474046.3860
MEM 19.121094 1551474046.4891
MEM 19.160156 1551474046.5893
MEM 19.203125 1551474046.6919
MEM 19.242188 1551474046.7936
MEM 19.285156 1551474046.8954
MEM 19.339844 1551474046.9958
MEM 19.359375 1551474047.0961
MEM 19.359375 1551474047.1970
MEM 19.359375 1551474047.2972
MEM 19.359375 1551474047.3982
MEM 19.359375 1551474047.5022
MEM 19.359375 1551474047.6062
MEM 19.359375 1551474047.7086
MEM 19.375000 1551474047.8126
MEM 19.417969 1551474047.9178
MEM 19.460938 1551474048.0224
MEM 19.503906 1551474048.1261
MEM 19.542969 1551474048.2269
MEM 19.582031 1551474048.3293
MEM 19.617188 1551474048.4298
MEM 19.644531 1551474048.5304
MEM 19.644531 1551474048.6338
MEM 19.644531 1551474048.7342
MEM 19.644531 1551474048.8347
MEM 19.644531 1551474048.9349
MEM 19.644531 1551474049.0355
MEM 19.644531 1551474049.1410
MEM 19.644531 1551474049.2421
MEM 19.644531 1551474049.3435
MEM 19.644531 1551474049.4460
MEM 19.644531 1551474049.5463
MEM 19.644531 1551474049.6471
MEM 19.656250 1551474049.7524
MEM 19.675781 1551474049.8571
MEM 19.699219 1551474049.9574
MEM 19.718750 1551474050.0586
MEM 19.746094 1551474050.1620
MEM 19.785156 1551474050.2626
MEM 19.820312 1551474050.3638
MEM 19.863281 1551474050.4651
MEM 19.906250 1551474050.5655
MEM 19.929688 1551474050.6658
MEM 19.929688 1551474050.7667
MEM 19.929688 1551474050.8672
MEM 19.929688 1551474050.9718
MEM 19.929688 1551474051.0724
MEM 19.929688 1551474051.1726
MEM 19.929688 1551474051.2730
MEM 19.929688 1551474051.3743
MEM 19.929688 1551474051.4759
MEM 19.929688 1551474051.5793
MEM 19.929688 1551474051.6811
MEM 19.929688 1551474051.7818
MEM 19.929688 1551474051.8821
MEM 19.929688 1551474051.9837
MEM 19.933594 1551474052.0856
MEM 19.968750 1551474052.1900
MEM 20.000000 1551474052.2935
MEM 20.035156 1551474052.3960
MEM 20.078125 1551474052.4962
MEM 20.117188 1551474052.5965
MEM 20.160156 1551474052.7007
MEM 20.203125 1551474052.8037
MEM 20.214844 1551474052.9067
MEM 20.214844 1551474053.0072
MEM 20.214844 1551474053.1100
MEM 20.214844 1551474053.2112
MEM 20.214844 1551474053.3114
MEM 20.214844 1551474053.4137
MEM 20.214844 1551474053.5170
MEM 20.214844 1551474053.6219
MEM 20.214844 1551474053.7233
MEM 20.214844 1551474053.8240
MEM 20.214844 1551474053.9268
