CMDLINE /usr/local/opt/python/bin/python3.7 simpleProgram.py
MEM 0.054688 1551474197.8623
MEM 9.609375 1551474197.9675
MEM 14.066406 1551474198.0693
MEM 18.921875 1551474198.1702
MEM 18.925781 1551474198.2715
MEM 18.964844 1551474198.3726
MEM 18.996094 1551474198.4756
MEM 19.031250 1551474198.5807
MEM 19.066406 1551474198.6824
MEM 19.097656 1551474198.7841
MEM 19.132812 1551474198.8858
MEM 19.167969 1551474198.9864
MEM 19.203125 1551474199.0874
MEM 19.238281 1551474199.1926
MEM 19.265625 1551474199.2934
MEM 19.308594 1551474199.3986
MEM 19.347656 1551474199.5015
MEM 19.382812 1551474199.6017
MEM 19.417969 1551474199.7065
MEM 19.457031 1551474199.8086
MEM 19.492188 1551474199.9135
MEM 19.527344 1551474200.0142
MEM 19.554688 1551474200.1160
MEM 19.570312 1551474200.2173
MEM 19.597656 1551474200.3216
MEM 19.621094 1551474200.4258
MEM 19.648438 1551474200.5268
MEM 19.679688 1551474200.6290
MEM 19.710938 1551474200.7313
MEM 19.730469 1551474200.8316
MEM 19.765625 1551474200.9319
MEM 19.773438 1551474201.0384
MEM 19.777344 1551474201.1402
MEM 19.792969 1551474201.2412
MEM 19.816406 1551474201.3434
MEM 19.832031 1551474201.4440
MEM 19.835938 1551474201.5482
MEM 19.863281 1551474201.6486
MEM 19.902344 1551474201.7538
MEM 19.929688 1551474201.8541
MEM 19.964844 1551474201.9582
MEM 20.007812 1551474202.0607
MEM 20.042969 1551474202.1614
MEM 20.085938 1551474202.2623
MEM 20.125000 1551474202.3636
MEM 20.164062 1551474202.4647
MEM 20.199219 1551474202.5654
MEM 20.226562 1551474202.6686
MEM 20.250000 1551474202.7699
MEM 20.261719 1551474202.8722
MEM 20.281250 1551474202.9759
MEM 20.281250 1551474203.0796
MEM 20.281250 1551474203.1847
MEM 20.281250 1551474203.2867
MEM 20.281250 1551474203.3877
MEM 20.281250 1551474203.4888
MEM 20.281250 1551474203.5923
MEM 20.281250 1551474203.6965
MEM 20.281250 1551474203.8018
MEM 20.281250 1551474203.9057
MEM 20.281250 1551474204.0107
MEM 20.281250 1551474204.1114
MEM 20.281250 1551474204.2132
MEM 20.281250 1551474204.3156
MEM 20.281250 1551474204.4204
MEM 20.281250 1551474204.5245
MEM 20.281250 1551474204.6251
MEM 20.281250 1551474204.7275
MEM 20.281250 1551474204.8291
MEM 20.281250 1551474204.9325
MEM 20.281250 1551474205.0354
MEM 20.281250 1551474205.1404
MEM 20.300781 1551474205.2406
MEM 20.332031 1551474205.3421
MEM 20.363281 1551474205.4442
MEM 20.394531 1551474205.5456
MEM 20.417969 1551474205.6518
MEM 20.441406 1551474205.7547
MEM 20.472656 1551474205.8562
MEM 20.500000 1551474205.9572
MEM 20.535156 1551474206.0574
MEM 20.570312 1551474206.1592
MEM 20.601562 1551474206.2595
MEM 20.636719 1551474206.3604
MEM 20.671875 1551474206.4631
MEM 20.707031 1551474206.5674
MEM 20.738281 1551474206.6688
MEM 20.765625 1551474206.7721
MEM 20.792969 1551474206.8762
MEM 20.820312 1551474206.9791
MEM 20.855469 1551474207.0794
MEM 20.886719 1551474207.1835
MEM 20.914062 1551474207.2838
MEM 20.949219 1551474207.3852
MEM 20.988281 1551474207.4884
MEM 21.007812 1551474207.5897
MEM 21.042969 1551474207.6941
MEM 21.070312 1551474207.7946
MEM 21.097656 1551474207.8977
MEM 21.140625 1551474207.9999
MEM 21.179688 1551474208.1004
MEM 21.218750 1551474208.2053
MEM 21.250000 1551474208.3099
MEM 21.281250 1551474208.4139
MEM 21.320312 1551474208.5184
MEM 21.347656 1551474208.6230
MEM 21.382812 1551474208.7242
MEM 21.414062 1551474208.8314
MEM 21.449219 1551474208.9348
MEM 21.472656 1551474209.0427
MEM 21.500000 1551474209.1485
MEM 21.515625 1551474209.2495
MEM 21.535156 1551474209.3553
MEM 21.546875 1551474209.4562
MEM 21.558594 1551474209.5565
MEM 21.574219 1551474209.6573
MEM 21.597656 1551474209.7578
MEM 21.628906 1551474209.8599
MEM 21.664062 1551474209.9651
MEM 21.664062 1551474210.0689
MEM 21.664062 1551474210.1697
MEM 21.664062 1551474210.2716
MEM 21.664062 1551474210.3751
MEM 21.664062 1551474210.4801
MEM 21.664062 1551474210.5820
MEM 21.664062 1551474210.6846
MEM 21.664062 1551474210.7891
MEM 21.664062 1551474210.8907
MEM 21.664062 1551474210.9950
MEM 21.664062 1551474211.0961
MEM 21.664062 1551474211.2005
MEM 21.664062 1551474211.3049
MEM 21.664062 1551474211.4082
MEM 21.664062 1551474211.5124
MEM 21.664062 1551474211.6160
MEM 21.664062 1551474211.7167
MEM 21.664062 1551474211.8190
MEM 21.664062 1551474211.9203
MEM 21.664062 1551474212.0247
MEM 21.664062 1551474212.1292
MEM 21.664062 1551474212.2337
MEM 21.664062 1551474212.3383
MEM 21.664062 1551474212.4389
MEM 21.664062 1551474212.5406
MEM 21.664062 1551474212.6424
MEM 21.664062 1551474212.7465
MEM 21.664062 1551474212.8481
MEM 21.664062 1551474212.9537
MEM 21.664062 1551474213.0584
MEM 21.664062 1551474213.1627
MEM 21.664062 1551474213.2663
MEM 21.664062 1551474213.3680
MEM 21.664062 1551474213.4722
MEM 21.664062 1551474213.5746
MEM 21.664062 1551474213.6794
MEM 21.667969 1551474213.7830
MEM 21.703125 1551474213.8882
MEM 21.738281 1551474213.9905
MEM 21.781250 1551474214.0943
MEM 21.796875 1551474214.1982
MEM 21.820312 1551474214.3036
MEM 21.843750 1551474214.4045
MEM 21.863281 1551474214.5048
MEM 21.886719 1551474214.6052
MEM 21.906250 1551474214.7057
MEM 21.941406 1551474214.8112
MEM 21.953125 1551474214.9121
MEM 21.984375 1551474215.0127
MEM 22.023438 1551474215.1172
MEM 22.058594 1551474215.2219
MEM 22.085938 1551474215.3265
MEM 22.121094 1551474215.4293
MEM 22.156250 1551474215.5307
MEM 22.175781 1551474215.6309
MEM 22.207031 1551474215.7346
MEM 22.238281 1551474215.8386
MEM 22.261719 1551474215.9423
MEM 22.296875 1551474216.0427
MEM 22.304688 1551474216.1445
MEM 22.339844 1551474216.2479
MEM 22.359375 1551474216.3496
MEM 22.386719 1551474216.4498
MEM 22.406250 1551474216.5503
MEM 22.433594 1551474216.6506
MEM 22.457031 1551474216.7513
MEM 22.484375 1551474216.8531
MEM 22.500000 1551474216.9536
MEM 22.519531 1551474217.0547
MEM 22.542969 1551474217.1550
MEM 22.570312 1551474217.2553
MEM 22.589844 1551474217.3590
MEM 22.613281 1551474217.4602
MEM 22.640625 1551474217.5615
MEM 22.660156 1551474217.6650
MEM 22.667969 1551474217.7655
MEM 22.687500 1551474217.8658
MEM 22.726562 1551474217.9665
MEM 22.750000 1551474218.0696
MEM 22.781250 1551474218.1698
MEM 22.824219 1551474218.2702
MEM 22.855469 1551474218.3711
MEM 22.890625 1551474218.4714
MEM 22.921875 1551474218.5718
MEM 22.953125 1551474218.6720
MEM 22.988281 1551474218.7722
MEM 23.015625 1551474218.8734
MEM 23.050781 1551474218.9742
MEM 23.066406 1551474219.0750
MEM 23.066406 1551474219.1813
MEM 23.066406 1551474219.2839
MEM 23.066406 1551474219.3858
MEM 23.066406 1551474219.4867
MEM 23.066406 1551474219.5875
MEM 23.066406 1551474219.6880
MEM 23.066406 1551474219.7888
MEM 23.066406 1551474219.8891
MEM 23.066406 1551474219.9904
MEM 23.066406 1551474220.0905
MEM 23.066406 1551474220.1939
MEM 23.066406 1551474220.2945
MEM 23.066406 1551474220.3984
MEM 23.066406 1551474220.4986
MEM 23.066406 1551474220.6033
MEM 23.066406 1551474220.7076
MEM 23.066406 1551474220.8111
MEM 23.066406 1551474220.9115
MEM 23.066406 1551474221.0118
MEM 23.066406 1551474221.1160
MEM 23.066406 1551474221.2169
MEM 23.066406 1551474221.3173
MEM 23.066406 1551474221.4175
MEM 23.066406 1551474221.5193
MEM 23.066406 1551474221.6199
MEM 23.066406 1551474221.7208
MEM 23.066406 1551474221.8214
MEM 23.066406 1551474221.9221
MEM 23.066406 1551474222.0239
MEM 23.066406 1551474222.1244
MEM 23.066406 1551474222.2303
MEM 23.066406 1551474222.3336
MEM 23.066406 1551474222.4360
MEM 23.066406 1551474222.5363
MEM 23.066406 1551474222.6366
MEM 23.066406 1551474222.7368
MEM 23.066406 1551474222.8372
MEM 23.066406 1551474222.9396
MEM 23.066406 1551474223.0438
MEM 23.066406 1551474223.1481
MEM 23.066406 1551474223.2528
MEM 23.066406 1551474223.3536
MEM 23.066406 1551474223.4545
MEM 23.066406 1551474223.5552
MEM 23.066406 1551474223.6566
MEM 23.066406 1551474223.7572
MEM 23.066406 1551474223.8593
MEM 23.066406 1551474223.9598
MEM 23.066406 1551474224.0640
MEM 23.066406 1551474224.1647
MEM 23.066406 1551474224.2650
MEM 23.066406 1551474224.3659
MEM 23.066406 1551474224.4663
MEM 23.066406 1551474224.5711
MEM 23.066406 1551474224.6752
MEM 23.066406 1551474224.7772
MEM 23.066406 1551474224.8812
MEM 23.066406 1551474224.9820
MEM 23.066406 1551474225.0849
MEM 23.066406 1551474225.1885
MEM 23.066406 1551474225.2907
MEM 23.066406 1551474225.3937
MEM 23.066406 1551474225.4970
MEM 23.066406 1551474225.5993
MEM 23.066406 1551474225.7002
MEM 23.089844 1551474225.8010
MEM 23.117188 1551474225.9022
MEM 23.148438 1551474226.0035
MEM 23.156250 1551474226.1048
MEM 23.195312 1551474226.2050
MEM 23.226562 1551474226.3052
MEM 23.250000 1551474226.4057
MEM 23.273438 1551474226.5067
MEM 23.292969 1551474226.6069
MEM 23.312500 1551474226.7113
MEM 23.316406 1551474226.8157
MEM 23.316406 1551474226.9187
MEM 23.335938 1551474227.0204
MEM 23.359375 1551474227.1220
MEM 23.398438 1551474227.2243
MEM 23.433594 1551474227.3279
MEM 23.460938 1551474227.4322
MEM 23.500000 1551474227.5327
MEM 23.515625 1551474227.6331
MEM 23.531250 1551474227.7335
MEM 23.566406 1551474227.8342
MEM 23.582031 1551474227.9371
MEM 23.601562 1551474228.0405
MEM 23.621094 1551474228.1407
MEM 23.656250 1551474228.2423
MEM 23.695312 1551474228.3437
MEM 23.734375 1551474228.4483
MEM 23.773438 1551474228.5499
MEM 23.652344 1551474228.6550
MEM 23.675781 1551474228.7564
MEM 23.687500 1551474228.8567
MEM 23.718750 1551474228.9586
MEM 23.761719 1551474229.0605
MEM 23.773438 1551474229.1609
MEM 23.800781 1551474229.2659
MEM 23.816406 1551474229.3664
MEM 23.839844 1551474229.4666
MEM 23.855469 1551474229.5670
MEM 23.867188 1551474229.6677
MEM 23.898438 1551474229.7699
MEM 23.906250 1551474229.8701
MEM 23.937500 1551474229.9712
MEM 23.953125 1551474230.0715
MEM 23.968750 1551474230.1718
