CMDLINE /usr/local/opt/python/bin/python3.7 mandelbrot2.py
MEM 91.062500 1551482324.9375
MEM 91.175781 1551482325.0427
MEM 91.175781 1551482325.1463
MEM 91.289062 1551482325.2490
MEM 91.289062 1551482325.3504
MEM 91.386719 1551482325.4511
MEM 91.402344 1551482325.5528
MEM 91.414062 1551482325.6535
MEM 91.515625 1551482325.7539
MEM 91.515625 1551482325.8544
MEM 91.632812 1551482325.9547
MEM 91.632812 1551482326.0554
MEM 91.746094 1551482326.1570
MEM 91.746094 1551482326.2593
MEM 91.863281 1551482326.3598
MEM 91.863281 1551482326.4639
MEM 91.976562 1551482326.5666
MEM 91.976562 1551482326.6673
MEM 92.039062 1551482326.7686
MEM 92.089844 1551482326.8702
MEM 92.089844 1551482326.9710
MEM 92.203125 1551482327.0714
MEM 92.203125 1551482327.1726
MEM 92.316406 1551482327.2734
MEM 92.316406 1551482327.3739
MEM 92.433594 1551482327.4749
MEM 92.433594 1551482327.5756
MEM 92.507812 1551482327.6802
MEM 92.542969 1551482327.7813
MEM 92.542969 1551482327.8817
MEM 92.660156 1551482327.9869
MEM 92.660156 1551482328.0891
MEM 92.773438 1551482328.1943
MEM 92.773438 1551482328.2963
MEM 92.886719 1551482328.3969
MEM 92.886719 1551482328.4984
MEM 92.921875 1551482328.5991
MEM 93.000000 1551482328.6996
MEM 93.000000 1551482328.8012
MEM 93.113281 1551482328.9048
MEM 93.113281 1551482329.0054
MEM 93.214844 1551482329.1103
MEM 93.230469 1551482329.2113
MEM 93.230469 1551482329.3136
MEM 93.339844 1551482329.4139
MEM 93.339844 1551482329.5150
MEM 93.457031 1551482329.6153
MEM 93.457031 1551482329.7192
MEM 93.457031 1551482329.8208
MEM 93.570312 1551482329.9213
MEM 93.570312 1551482330.0217
MEM 93.683594 1551482330.1222
MEM 93.683594 1551482330.2231
MEM 93.683594 1551482330.3246
MEM 93.796875 1551482330.4258
MEM 93.796875 1551482330.5284
MEM 93.914062 1551482330.6291
MEM 93.917969 1551482330.7338
MEM 94.035156 1551482330.8383
MEM 94.035156 1551482330.9429
MEM 94.097656 1551482331.0465
MEM 94.148438 1551482331.1476
MEM 94.148438 1551482331.2514
MEM 94.265625 1551482331.3521
MEM 94.265625 1551482331.4543
MEM 94.378906 1551482331.5595
MEM 94.378906 1551482331.6634
MEM 94.492188 1551482331.7685
MEM 94.492188 1551482331.8689
MEM 94.605469 1551482331.9712
MEM 94.605469 1551482332.0738
MEM 94.718750 1551482332.1741
MEM 94.718750 1551482332.2745
MEM 94.792969 1551482332.3750
MEM 94.835938 1551482332.4754
MEM 94.835938 1551482332.5782
MEM 94.949219 1551482332.6789
MEM 94.949219 1551482332.7839
MEM 95.066406 1551482332.8871
MEM 95.066406 1551482332.9917
MEM 95.179688 1551482333.0965
MEM 95.179688 1551482333.1969
MEM 95.292969 1551482333.3016
MEM 95.292969 1551482333.4042
MEM 95.406250 1551482333.5047
MEM 95.406250 1551482333.6064
MEM 95.453125 1551482333.7067
MEM 95.519531 1551482333.8070
MEM 95.519531 1551482333.9084
MEM 95.636719 1551482334.0092
MEM 95.636719 1551482334.1096
MEM 95.750000 1551482334.2149
MEM 95.750000 1551482334.3173
MEM 95.867188 1551482334.4177
MEM 95.867188 1551482334.5229
MEM 95.914062 1551482334.6235
MEM 95.980469 1551482334.7240
MEM 95.980469 1551482334.8242
MEM 96.093750 1551482334.9248
MEM 96.093750 1551482335.0250
MEM 96.207031 1551482335.1257
MEM 96.207031 1551482335.2284
MEM 96.257812 1551482335.3336
MEM 96.320312 1551482335.4340
MEM 96.320312 1551482335.5343
MEM 96.437500 1551482335.6376
MEM 96.437500 1551482335.7379
MEM 96.550781 1551482335.8420
MEM 96.550781 1551482335.9453
MEM 96.667969 1551482336.0466
MEM 96.667969 1551482336.1478
MEM 96.722656 1551482336.2499
MEM 96.781250 1551482336.3551
MEM 96.808594 1551482336.4578
MEM 96.894531 1551482336.5585
MEM 96.894531 1551482336.6620
MEM 97.007812 1551482336.7627
MEM 97.007812 1551482336.8677
MEM 97.121094 1551482336.9680
MEM 97.121094 1551482337.0685
MEM 97.238281 1551482337.1690
MEM 97.238281 1551482337.2694
MEM 97.296875 1551482337.3735
MEM 97.351562 1551482337.4765
MEM 97.351562 1551482337.5790
MEM 97.468750 1551482337.6841
MEM 97.468750 1551482337.7854
MEM 97.582031 1551482337.8906
MEM 97.582031 1551482337.9937
MEM 97.695312 1551482338.0967
MEM 97.695312 1551482338.1970
MEM 97.800781 1551482338.2977
MEM 97.808594 1551482338.3986
MEM 97.812500 1551482338.4997
MEM 97.921875 1551482338.6006
MEM 97.921875 1551482338.7011
MEM 98.039062 1551482338.8048
MEM 98.039062 1551482338.9057
MEM 98.152344 1551482339.0064
MEM 98.152344 1551482339.1073
MEM 98.222656 1551482339.2076
MEM 98.269531 1551482339.3087
MEM 98.269531 1551482339.4141
MEM 98.382812 1551482339.5148
MEM 98.382812 1551482339.6151
MEM 98.496094 1551482339.7153
MEM 98.496094 1551482339.8156
MEM 98.609375 1551482339.9209
MEM 98.609375 1551482340.0255
MEM 98.687500 1551482340.1294
MEM 98.722656 1551482340.2342
MEM 98.722656 1551482340.3375
MEM 98.839844 1551482340.4427
MEM 98.839844 1551482340.5467
MEM 98.953125 1551482340.6479
MEM 98.953125 1551482340.7482
MEM 99.070312 1551482340.8503
MEM 99.070312 1551482340.9505
MEM 99.156250 1551482341.0556
MEM 99.183594 1551482341.1582
MEM 99.183594 1551482341.2597
MEM 99.296875 1551482341.3600
MEM 99.296875 1551482341.4611
MEM 99.410156 1551482341.5663
MEM 99.410156 1551482341.6669
MEM 99.523438 1551482341.7676
MEM 99.523438 1551482341.8706
MEM 99.589844 1551482341.9719
MEM 99.640625 1551482342.0726
MEM 99.640625 1551482342.1751
MEM 99.753906 1551482342.2803
MEM 99.753906 1551482342.3843
MEM 99.871094 1551482342.4896
MEM 99.871094 1551482342.5898
MEM 99.984375 1551482342.6948
MEM 99.984375 1551482342.7967
MEM 100.070312 1551482342.8979
MEM 100.097656 1551482342.9986
MEM 100.097656 1551482343.0994
MEM 100.214844 1551482343.2000
MEM 100.214844 1551482343.3041
MEM 100.328125 1551482343.4050
MEM 100.328125 1551482343.5055
MEM 100.406250 1551482343.6062
MEM 100.445312 1551482343.7114
MEM 100.445312 1551482343.8166
MEM 100.558594 1551482343.9172
MEM 100.558594 1551482344.0174
MEM 100.675781 1551482344.1178
MEM 100.675781 1551482344.2200
MEM 100.789062 1551482344.3252
MEM 100.789062 1551482344.4257
MEM 100.820312 1551482344.5289
MEM 100.902344 1551482344.6293
MEM 100.902344 1551482344.7297
MEM 100.964844 1551482344.8343
MEM 101.019531 1551482344.9346
MEM 101.019531 1551482345.0398
MEM 101.132812 1551482345.1429
MEM 101.132812 1551482345.2470
MEM 101.250000 1551482345.3474
MEM 101.250000 1551482345.4484
MEM 101.312500 1551482345.5492
MEM 101.363281 1551482345.6502
MEM 101.363281 1551482345.7511
MEM 101.476562 1551482345.8514
MEM 101.476562 1551482345.9540
MEM 101.589844 1551482346.0545
MEM 101.589844 1551482346.1549
MEM 101.593750 1551482346.2556
MEM 101.703125 1551482346.3559
MEM 101.703125 1551482346.4564
MEM 101.820312 1551482346.5568
MEM 101.820312 1551482346.6596
MEM 101.933594 1551482346.7617
MEM 101.933594 1551482346.8619
MEM 101.933594 1551482346.9623
MEM 102.050781 1551482347.0676
MEM 102.050781 1551482347.1680
MEM 102.164062 1551482347.2682
MEM 102.164062 1551482347.3686
MEM 102.218750 1551482347.4695
MEM 102.277344 1551482347.5700
MEM 102.277344 1551482347.6752
MEM 102.390625 1551482347.7756
MEM 102.390625 1551482347.8759
MEM 102.503906 1551482347.9761
MEM 102.503906 1551482348.0789
MEM 102.562500 1551482348.1795
MEM 102.621094 1551482348.2845
MEM 102.621094 1551482348.3894
MEM 102.734375 1551482348.4943
MEM 102.734375 1551482348.5970
MEM 102.851562 1551482348.6991
MEM 102.851562 1551482348.7996
MEM 102.964844 1551482348.9048
MEM 102.964844 1551482349.0069
MEM 103.003906 1551482349.1072
MEM 103.078125 1551482349.2075
MEM 103.078125 1551482349.3090
MEM 103.191406 1551482349.4105
MEM 103.191406 1551482349.5110
MEM 103.304688 1551482349.6115
MEM 103.304688 1551482349.7133
MEM 103.304688 1551482349.8143
MEM 103.421875 1551482349.9153
MEM 103.421875 1551482350.0199
MEM 103.535156 1551482350.1202
MEM 103.535156 1551482350.2206
MEM 103.562500 1551482350.3212
MEM 103.652344 1551482350.4265
MEM 103.652344 1551482350.5269
MEM 103.765625 1551482350.6283
MEM 103.765625 1551482350.7290
MEM 103.878906 1551482350.8343
MEM 103.878906 1551482350.9395
MEM 103.906250 1551482351.0408
MEM 103.992188 1551482351.1460
MEM 103.992188 1551482351.2464
MEM 104.105469 1551482351.3470
MEM 104.105469 1551482351.4483
MEM 104.210938 1551482351.5486
MEM 104.222656 1551482351.6534
MEM 104.222656 1551482351.7539
MEM 104.335938 1551482351.8543
MEM 104.335938 1551482351.9549
MEM 104.453125 1551482352.0552
MEM 104.453125 1551482352.1572
MEM 104.523438 1551482352.2586
MEM 104.566406 1551482352.3638
MEM 104.566406 1551482352.4653
MEM 104.679688 1551482352.5657
MEM 104.679688 1551482352.6709
MEM 104.757812 1551482352.7712
MEM 104.792969 1551482352.8718
MEM 104.792969 1551482352.9770
MEM 104.906250 1551482353.0776
MEM 104.906250 1551482353.1781
MEM 105.023438 1551482353.2789
MEM 105.023438 1551482353.3803
MEM 105.117188 1551482353.4846
MEM 105.136719 1551482353.5877
MEM 105.136719 1551482353.6929
MEM 105.253906 1551482353.7964
MEM 105.253906 1551482353.8982
MEM 105.367188 1551482353.9987
MEM 105.367188 1551482354.1038
MEM 105.480469 1551482354.2043
MEM 105.480469 1551482354.3051
MEM 105.480469 1551482354.4054
MEM 105.593750 1551482354.5058
MEM 105.593750 1551482354.6073
MEM 105.707031 1551482354.7092
MEM 105.707031 1551482354.8123
MEM 105.781250 1551482354.9167
MEM 105.824219 1551482355.0169
MEM 105.824219 1551482355.1189
MEM 105.937500 1551482355.2203
MEM 105.937500 1551482355.3209
MEM 106.054688 1551482355.4213
MEM 106.054688 1551482355.5266
MEM 106.093750 1551482355.6317
MEM 106.167969 1551482355.7320
MEM 106.167969 1551482355.8346
MEM 106.281250 1551482355.9373
MEM 106.281250 1551482356.0425
MEM 106.394531 1551482356.1472
MEM 106.394531 1551482356.2485
MEM 106.406250 1551482356.3503
MEM 106.507812 1551482356.4507
MEM 106.507812 1551482356.5514
MEM 106.625000 1551482356.6566
MEM 106.625000 1551482356.7572
MEM 106.738281 1551482356.8579
MEM 106.738281 1551482356.9592
MEM 106.738281 1551482357.0597
MEM 106.855469 1551482357.1601
MEM 106.855469 1551482357.2654
MEM 106.968750 1551482357.3666
MEM 106.968750 1551482357.4693
MEM 106.968750 1551482357.5708
MEM 107.082031 1551482357.6740
MEM 107.082031 1551482357.7749
MEM 107.195312 1551482357.8772
MEM 107.195312 1551482357.9809
MEM 107.246094 1551482358.0847
MEM 107.308594 1551482358.1850
MEM 107.308594 1551482358.2872
MEM 107.425781 1551482358.3888
MEM 107.425781 1551482358.4918
MEM 107.535156 1551482358.5971
MEM 107.539062 1551482358.6983
MEM 107.539062 1551482358.8003
MEM 107.656250 1551482358.9006
MEM 107.656250 1551482359.0013
MEM 107.769531 1551482359.1017
MEM 107.769531 1551482359.2061
MEM 107.769531 1551482359.3068
MEM 107.882812 1551482359.4071
MEM 107.882812 1551482359.5081
MEM 107.996094 1551482359.6085
MEM 107.996094 1551482359.7095
MEM 107.996094 1551482359.8128
MEM 108.109375 1551482359.9170
MEM 108.109375 1551482360.0176
MEM 108.226562 1551482360.1180
MEM 108.226562 1551482360.2210
MEM 108.226562 1551482360.3213
MEM 108.339844 1551482360.4251
MEM 108.339844 1551482360.5291
MEM 108.414062 1551482360.6294
MEM 108.457031 1551482360.7302
MEM 108.457031 1551482360.8327
MEM 108.570312 1551482360.9349
MEM 108.570312 1551482361.0359
MEM 108.628906 1551482361.1365
MEM 108.683594 1551482361.2370
MEM 108.683594 1551482361.3422
MEM 108.796875 1551482361.4449
MEM 108.796875 1551482361.5501
MEM 108.882812 1551482361.6536
MEM 108.910156 1551482361.7545
MEM 108.910156 1551482361.8568
MEM 109.027344 1551482361.9578
MEM 109.027344 1551482362.0585
MEM 109.117188 1551482362.1593
MEM 109.140625 1551482362.2620
MEM 109.140625 1551482362.3673
MEM 109.257812 1551482362.4699
MEM 109.257812 1551482362.5761
MEM 109.371094 1551482362.6786
MEM 109.371094 1551482362.7788
MEM 109.417969 1551482362.8796
MEM 109.484375 1551482362.9799
MEM 109.484375 1551482363.0808
MEM 109.597656 1551482363.1848
MEM 109.597656 1551482363.2895
MEM 109.648438 1551482363.3921
MEM 109.710938 1551482363.4973
MEM 109.710938 1551482363.5995
MEM 109.828125 1551482363.6998
MEM 109.828125 1551482363.8010
MEM 109.902344 1551482363.9063
MEM 109.941406 1551482364.0066
MEM 109.941406 1551482364.1069
MEM 110.058594 1551482364.2089
MEM 110.058594 1551482364.3128
MEM 110.082031 1551482364.4157
MEM 110.171875 1551482364.5166
MEM 110.171875 1551482364.6194
MEM 110.285156 1551482364.7203
MEM 110.285156 1551482364.8206
MEM 110.285156 1551482364.9209
MEM 110.398438 1551482365.0214
MEM 110.398438 1551482365.1227
MEM 110.511719 1551482365.2239
MEM 110.511719 1551482365.3260
MEM 110.511719 1551482365.4265
MEM 110.628906 1551482365.5284
MEM 110.628906 1551482365.6287
MEM 110.707031 1551482365.7301
MEM 110.742188 1551482365.8303
MEM 110.742188 1551482365.9349
MEM 110.859375 1551482366.0401
MEM 110.859375 1551482366.1450
MEM 110.867188 1551482366.2496
MEM 110.972656 1551482366.3498
MEM 110.972656 1551482366.4512
MEM 111.085938 1551482366.5522
MEM 111.085938 1551482366.6531
MEM 111.085938 1551482366.7545
MEM 111.199219 1551482366.8598
MEM 111.199219 1551482366.9646
MEM 111.312500 1551482367.0649
MEM 111.312500 1551482367.1653
MEM 111.312500 1551482367.2670
MEM 111.429688 1551482367.3672
MEM 111.429688 1551482367.4676
MEM 111.492188 1551482367.5684
MEM 111.542969 1551482367.6722
MEM 111.542969 1551482367.7725
MEM 111.660156 1551482367.8765
MEM 111.660156 1551482367.9771
MEM 111.660156 1551482368.0778
MEM 111.773438 1551482368.1781
MEM 111.773438 1551482368.2833
MEM 111.832031 1551482368.3843
MEM 111.886719 1551482368.4849
MEM 111.886719 1551482368.5901
MEM 112.000000 1551482368.6912
MEM 112.000000 1551482368.7939
MEM 112.000000 1551482368.8964
MEM 112.113281 1551482368.9997
MEM 112.113281 1551482369.0999
MEM 112.160156 1551482369.2034
MEM 112.230469 1551482369.3057
MEM 112.230469 1551482369.4064
MEM 112.343750 1551482369.5068
MEM 112.343750 1551482369.6071
MEM 112.343750 1551482369.7074
MEM 112.460938 1551482369.8077
MEM 112.460938 1551482369.9101
MEM 112.460938 1551482370.0119
MEM 112.574219 1551482370.1123
MEM 112.574219 1551482370.2128
MEM 112.574219 1551482370.3132
MEM 112.687500 1551482370.4135
MEM 112.687500 1551482370.5163
MEM 112.687500 1551482370.6216
MEM 112.800781 1551482370.7219
MEM 112.800781 1551482370.8230
MEM 112.800781 1551482370.9245
MEM 112.914062 1551482371.0269
MEM 112.914062 1551482371.1275
MEM 112.921875 1551482371.2279
MEM 113.031250 1551482371.3294
MEM 113.031250 1551482371.4301
MEM 113.070312 1551482371.5351
MEM 113.140625 1551482371.6363
MEM 113.140625 1551482371.7374
MEM 113.175781 1551482371.8384
MEM 113.257812 1551482371.9394
MEM 113.257812 1551482372.0439
MEM 113.312500 1551482372.1491
MEM 113.371094 1551482372.2509
MEM 113.371094 1551482372.3511
MEM 113.417969 1551482372.4514
MEM 113.484375 1551482372.5519
MEM 113.484375 1551482372.6526
MEM 113.507812 1551482372.7541
MEM 113.597656 1551482372.8544
MEM 113.597656 1551482372.9563
MEM 113.597656 1551482373.0567
MEM 113.710938 1551482373.1576
MEM 113.710938 1551482373.2612
MEM 113.710938 1551482373.3621
MEM 113.828125 1551482373.4667
MEM 113.828125 1551482373.5671
MEM 113.828125 1551482373.6683
MEM 113.937500 1551482373.7719
MEM 113.937500 1551482373.8722
MEM 113.937500 1551482373.9725
MEM 114.054688 1551482374.0729
MEM 114.054688 1551482374.1735
MEM 114.054688 1551482374.2750
MEM 114.167969 1551482374.3758
MEM 114.167969 1551482374.4763
MEM 114.167969 1551482374.5766
MEM 114.167969 1551482374.6768
MEM 114.281250 1551482374.7771
MEM 114.281250 1551482374.8773
MEM 114.281250 1551482374.9777
MEM 114.335938 1551482375.0780
MEM 114.394531 1551482375.1785
MEM 114.394531 1551482375.2789
MEM 114.394531 1551482375.3797
MEM 114.503906 1551482375.4802
MEM 114.503906 1551482375.5819
MEM 114.503906 1551482375.6853
MEM 114.621094 1551482375.7905
MEM 114.621094 1551482375.8939
MEM 114.621094 1551482375.9945
MEM 114.671875 1551482376.0955
MEM 114.730469 1551482376.1965
MEM 114.730469 1551482376.3009
MEM 114.730469 1551482376.4014
MEM 114.847656 1551482376.5036
MEM 114.847656 1551482376.6041
MEM 114.847656 1551482376.7045
MEM 114.902344 1551482376.8053
MEM 114.957031 1551482376.9061
MEM 114.957031 1551482377.0067
MEM 114.957031 1551482377.1070
MEM 115.050781 1551482377.2081
MEM 115.066406 1551482377.3091
MEM 115.066406 1551482377.4099
MEM 115.066406 1551482377.5107
MEM 115.175781 1551482377.6112
MEM 115.175781 1551482377.7122
MEM 115.175781 1551482377.8138
MEM 115.175781 1551482377.9167
MEM 115.285156 1551482378.0175
MEM 115.285156 1551482378.1178
MEM 115.285156 1551482378.2195
MEM 115.296875 1551482378.3200
MEM 115.402344 1551482378.4205
MEM 115.402344 1551482378.5241
MEM 115.402344 1551482378.6247
MEM 115.457031 1551482378.7258
MEM 115.511719 1551482378.8269
MEM 115.511719 1551482378.9279
MEM 115.511719 1551482379.0282
MEM 115.625000 1551482379.1285
MEM 115.625000 1551482379.2294
MEM 115.625000 1551482379.3314
MEM 115.625000 1551482379.4317
MEM 115.734375 1551482379.5354
MEM 115.734375 1551482379.6356
MEM 115.734375 1551482379.7392
MEM 115.734375 1551482379.8445
MEM 115.843750 1551482379.9495
MEM 115.843750 1551482380.0525
MEM 115.847656 1551482380.1530
MEM 115.902344 1551482380.2534
MEM 115.957031 1551482380.3538
MEM 115.957031 1551482380.4580
MEM 115.957031 1551482380.5584
MEM 116.066406 1551482380.6594
MEM 116.066406 1551482380.7598
MEM 116.066406 1551482380.8601
MEM 116.066406 1551482380.9612
MEM 116.183594 1551482381.0614
MEM 116.183594 1551482381.1641
MEM 116.183594 1551482381.2645
MEM 116.222656 1551482381.3652
MEM 116.292969 1551482381.4697
MEM 116.292969 1551482381.5703
MEM 116.292969 1551482381.6709
MEM 116.375000 1551482381.7762
MEM 116.406250 1551482381.8767
MEM 116.406250 1551482381.9820
MEM 116.406250 1551482382.0848
MEM 116.507812 1551482382.1854
MEM 116.515625 1551482382.2860
MEM 116.515625 1551482382.3912
MEM 116.515625 1551482382.4958
MEM 116.625000 1551482382.5984
MEM 116.625000 1551482382.7011
MEM 116.625000 1551482382.8056
MEM 116.625000 1551482382.9075
MEM 116.734375 1551482383.0090
MEM 116.734375 1551482383.1098
MEM 116.734375 1551482383.2117
MEM 116.746094 1551482383.3136
MEM 116.843750 1551482383.4155
MEM 116.843750 1551482383.5170
MEM 116.843750 1551482383.6174
MEM 116.902344 1551482383.7178
MEM 116.957031 1551482383.8229
MEM 116.957031 1551482383.9281
MEM 116.957031 1551482384.0291
MEM 117.027344 1551482384.1307
MEM 117.066406 1551482384.2315
MEM 117.066406 1551482384.3333
MEM 117.066406 1551482384.4355
MEM 117.171875 1551482384.5365
MEM 117.179688 1551482384.6417
MEM 117.179688 1551482384.7469
MEM 117.179688 1551482384.8522
MEM 117.289062 1551482384.9564
MEM 117.289062 1551482385.0569
MEM 117.289062 1551482385.1586
MEM 117.289062 1551482385.2611
MEM 117.398438 1551482385.3618
MEM 117.398438 1551482385.4622
MEM 117.402344 1551482385.5625
MEM 117.402344 1551482385.6644
MEM 117.511719 1551482385.7681
MEM 117.511719 1551482385.8684
MEM 117.511719 1551482385.9697
MEM 117.566406 1551482386.0728
MEM 117.621094 1551482386.1732
MEM 117.621094 1551482386.2734
MEM 117.621094 1551482386.3748
MEM 117.683594 1551482386.4758
MEM 117.738281 1551482386.5763
MEM 117.738281 1551482386.6816
MEM 117.738281 1551482386.7825
MEM 117.847656 1551482386.8828
MEM 117.847656 1551482386.9870
MEM 117.847656 1551482387.0874
MEM 117.847656 1551482387.1905
MEM 117.960938 1551482387.2956
MEM 117.960938 1551482387.4008
MEM 117.960938 1551482387.5042
MEM 117.992188 1551482387.6091
MEM 118.070312 1551482387.7095
MEM 118.070312 1551482387.8100
MEM 118.070312 1551482387.9103
MEM 118.117188 1551482388.0106
MEM 118.179688 1551482388.1113
MEM 118.179688 1551482388.2120
MEM 118.179688 1551482388.3172
MEM 118.234375 1551482388.4175
MEM 118.289062 1551482388.5189
